T,M,Time
1,1,61.912742
1,10,61.973399
1,20,61.931206
1,30,61.929615
1,40,61.944742
1,50,61.912225
1,100,61.941377
10,1,7.589213
10,10,7.610283
10,20,7.608734
10,30,7.632377
10,40,7.595951
10,50,7.614454
10,100,7.603039
20,1,5.609494
20,10,4.682072
20,20,6.190581
20,30,5.761505
20,40,3.322975
20,50,5.733426
20,100,5.534626
